X,Y,objectid,name,address,city,zipcode,phone,class,function,num_beds,county,comment,id,longitude,latitude
-155.918471531246325,19.519492133647073,1,KONA COMMUNITY HOSPITAL,79-1019 HAUKAPILA STREET,KEALAKEKUA,96750,(808) 322-4429,EFHM,Hospital,75,15001,0006950070,0,-155.91848,19.519491
-155.796669041741012,20.232329500050316,2,KOHALA HOSPITAL,54-383 HOSPITAL ROAD,KOHALA,96755,(808) 889-6211,EFHS,Hospital,26,15001,0006950080,1,-155.79667,19.519491
-155.479689195729776,19.198138374835569,3,KAU HOSPITAL,1 KAMANI STREET,PAHALA,96777,(808) 928-8331,EFHS,Hospital,21,15001,0006950130,2,-155.479701,19.198133
-155.469669258192056,20.076965579630045,4,HAMAKUA HEALTH CENTER INC,45-549 PLUMERIA ROAD/P O BOX 509,HONOKAA,96727,(808) 775-7204,EFMC,Clinic,0,15001,Rural Clinic (Non Profit - Corpora),3,-155.46967,20.07696
-155.111372827017135,19.718200311679908,5,HILO MEDICAL CENTER,1190 WAIANUENUE AVENUE,HILO,96720-2095,(808) 974-4743,EFHL,Hospital,274,15001,0006950050,4,-155.111378,19.718192
-158.025228982276303,21.338813029380844,6,KAHI MOHALA,91-2301 FORT WEAVER ROAD,EWA BEACH,96706,(808) 671-8511,EFHM,Hospital,88,15003,0006950305,5,-158.025232,21.338799
-157.899692044586658,21.36326054495326,7,KAISER FOUNDATION HOSPITAL,3288 MOANALUA ROAD,HONOLULU,96819,(808) 834-5333,EFHL,Hospital,198,15003,0006950330,6,-157.899695,21.363247
-157.833604767221004,21.299731747653745,8,KAPIOLANI MED CTR FOR WOMEN,1319 PUNAHOU STREET,HONOLULU,96826-1032,(808) 983-6000,EFHL,Hospital,276,15003,0006950335,7,-157.833607,21.299718
-157.854472125252613,21.321413066713149,9,REHAB HOSPITAL OF THE PACIFIC,226 NORTH KUAKINI STREET,HONOLULU,96817-9881,(808) 531-3511,EFHM,Hospital,86,15003,0006950355,8,-157.854474,21.321399
-157.856838060947126,21.322107975335154,10,KUAKINI MEDICAL CENTER,347 NORTH KUAKINI STREET,HONOLULU,96817-2381,(808) 536-2236,EFHL,Hospital,189,15003,0006950360,9,-157.85684,21.322094
-157.801663629717325,21.272919309249634,11,LEAHI HOSPITAL,3675 KILAUEA AVENUE,HONOLULU,96816,(808) 733-8000,EFHL,Hospital,192,15003,0006950370,10,-157.801666,21.272905
-157.853540747153744,21.308034935886514,12,QUEEN'S MEDICAL CENTER,1301 PUNCHBOWL STREET,HONOLULU,96813,(808) 538-9011,EFHL,Hospital,496,15003,0006950380,11,-157.853543,21.308021
-157.852432312349436,21.329571700479335,13,ST FRANCIS MEDICAL CENTER,2230 LILIHA STREET,HONOLULU,96817-9979,(808) 547-6011,EFHL,Hospital,221,15003,0006950390,12,-157.852435,21.329558
-157.835375698539679,21.300493375594641,14,SHRINERS HOSPS FOR CHILDREN,1310 PUNAHOU STREET,HONOLULU,96826-1099,(808) 941-4466,EFHS,Hospital,40,15003,0006950400,13,-157.835378,21.300479
-157.850487042376784,21.302486595445789,15,STRAUB CLINIC AND HOSPITAL,888 SOUTH KING STREET,HONOLULU,96813,(808) 522-4000,EFHM,Hospital,139,15003,0006950405,14,-157.850489,21.302473
-157.889791060814161,21.359486764852591,16,TRIPLER ARMY MEDICAL CENTER,1 JARRETT WHITE ROAD,HONOLULU,96859-5000,(808) 433-6661,EFHL,Hospital,354,15003,0006950410,15,-157.889794,21.359473
-157.949686365730344,21.678802507846324,17,KAHUKU HOSPITAL,56-117 PUALALEA,KAHUKU,96731,(808) 293-9221,EFHS,Hospital,24,15003,0006950420,16,-157.949689,21.678789
-157.757655993032955,21.380533807093819,18,CASTLE MEDICAL CENTER,640 ULUKAHIKI STREET,KAILUA,96734-4498,(808) 263-5500,EFHM,Hospital,150,15003,0006950425,17,-157.757658,21.38052
-157.815885100530267,21.40515971416675,19,HAWAII STATE HOSPITAL,45-710 KEAAHALA ROAD,KANEOHE,96744-3597,(808) 236-8237,EFHL,Hospital,167,15003,0006950430,18,-157.815887,21.405146
-158.026057326046299,21.498762327975403,20,WAHIAWA GENERAL HOSPITAL,128 LEHUA STREET,WAHIAWA,96786,(808) 621-8411,EFHL,Hospital,162,15003,0006950445,19,-158.02606,21.498749
