Year,SST
1891,10.51733522
1892,11.39573789
1893,11.38353285
1894,11.37712185
1895,11.4216012
1896,11.49084581
1897,11.49646928
1898,11.39157637
1899,11.43421771
1900,11.47995698
1901,11.41645892
1902,11.33435935
1903,11.29269539
1904,11.26737161
1905,11.36013166
1906,11.3727052
1907,11.31414764
1908,11.24334939
1909,11.23202248
1910,11.24589168
1911,11.22516696
1912,11.3078747
1913,11.28646962
1914,11.36604786
1915,11.45693366
1916,11.34443073
1917,11.33204323
1918,11.40390796
1919,11.39285975
1920,11.41810083
1921,11.43046271
1922,11.36121341
1923,11.37422251
1924,11.4045466
1925,11.40833813
1926,11.49462741
1927,11.43535693
1928,11.42230946
1929,11.3570185
1930,11.4762863
1931,11.49375779
1932,11.47379162
1933,11.43290466
1934,11.45474767
1935,11.43521686
1936,11.43818404
1937,11.49869802
1938,11.50339425
1939,11.45106341
1940,11.56433809
1941,11.59820912
1942,11.60629623
1943,11.6079159
1944,11.63332746
1945,11.60910182
1946,11.45601027
1947,11.44065738
1948,11.42051131
1949,11.42538471
1950,11.44863587
1951,11.48271539
1952,11.51619202
1953,11.57921466
1954,11.47816034
1955,11.47300001
1956,11.45947288
1957,11.60553073
1958,11.6098127
1959,11.58485425
1960,11.55176748
1961,11.62248266
1962,11.62265594
1963,11.64200898
1964,11.52744753
1965,11.50655136
1966,11.52818254
1967,11.56540301
1968,11.52577718
1969,11.59095422
1970,11.56025769
1971,11.4978305
1972,11.5803225
1973,11.63175973
1974,11.50607558
1975,11.53261925
1976,11.47929458
1977,11.58324199
1978,11.54587074
1979,11.70402671
1980,11.73527479
1981,11.70034049
1982,11.69125534
1983,11.79114399
1984,11.71557995
1985,11.66701886
1986,11.67940231
1987,11.75143863
1988,11.77443514
1989,11.753072
1990,11.81373528
1991,11.7799162
1992,11.74752575
1993,11.75853635
1994,11.76390484
1995,11.83520118
1996,11.75910731
1997,11.89043722
1998,11.96017666
1999,11.80674339
2000,11.82728266
2001,11.87546867
2002,11.89566242
2003,11.89867171
2004,11.88647908
2005,11.92650205
2006,11.92445005
2007,11.8985919
2008,11.86127742
2009,11.91749478
2010,11.94672199
2011,11.89891707
2012,11.93239177
2013,11.94425059
2014,12.00161065
2015,12.05925188
2016,12.1344187
2017,12.05922702
