Year,SeaLevel
1870,-74.37333333
1871,-77.385
1872,-68.96666667
1873,-72.71166667
1874,-74.35083333
1875,-77.99083333
1876,-65.54916667
1877,-55.40583333
1878,-53.95083333
1879,-66.0375
1880,-65.185
1881,-61.46416667
1882,-74.035
1883,-72.70666667
1884,-61.78416667
1885,-64.23333333
1886,-58.44916667
1887,-61.75583333
1888,-65.02833333
1889,-59.20916667
1890,-59.45833333
1891,-58.91333333
1892,-55.315
1893,-49.85083333
1894,-57.3275
1895,-45.51166667
1896,-51.11583333
1897,-47.33833333
1898,-42.79333333
1899,-38.3025
1900,-46.8025
1901,-50.46583333
1902,-48.3325
1903,-41.05833333
1904,-43.76416667
1905,-47.84916667
1906,-41.595
1907,-43.95666667
1908,-46.57083333
1909,-42.38333333
1910,-44.66083333
1911,-36.5425
1912,-39.72666667
1913,-38.48333333
1914,-30.2875
1915,-23.85583333
1916,-32.59416667
1917,-36.91583333
1918,-33.93083333
1919,-31.855
1920,-32.40833333
1921,-34.0475
1922,-35.175
1923,-32.06666667
1924,-39.55083333
1925,-41.02416667
1926,-35.535
1927,-33.0525
1928,-33.92166667
1929,-36.81166667
1930,-29.1925
1931,-29.23333333
1932,-24.30666667
1933,-22.54
1934,-28.68083333
1935,-20.33833333
1936,-20.56583333
1937,-17.32416667
1938,-12.15583333
1939,-11.78416667
1940,-16.47166667
1941,-1.52
1942,-0.385
1943,-2.796666667
1944,-4.694166667
1945,-2.051666667
1946,3.684166667
1947,3.9675
1948,10.0425
1949,9.615833333
1950,14.5225
1951,25.14416667
1952,22.1325
1953,24.61666667
1954,22.97083333
1955,26.13333333
1956,20.945
1957,35.47916667
1958,38.645
1959,37.31916667
1960,38.73833333
1961,43
1962,39.3125
1963,39.6
1964,33.94166667
1965,45.16166667
1966,38.66916667
1967,38.07916667
1968,39.25666667
1969,48.58583333
1970,46.44333333
1971,54.39583333
1972,58.89666667
1973,58.50833333
1974,66.66416667
1975,65.54083333
1976,62.91083333
1977,58.60333333
1978,63.95
1979,63.2625
1980,68.48083333
1981,79.17
1982,72.785
1983,78.315
1984,77.64666667
1985,67.995
1986,67.13416667
1987,72.70833333
1988,73.9625
1989,74.89083333
1990,81.24333333
1991,91.16833333
1992,93.75
1993,88.42333333
1994,91.6175
1995,98.265
1996,102.4016667
1997,111.8408333
1998,105.3533333
1999,110.1325
2000,113.7025
2001,116.0383333
