Year,SST
1891,23.02546169
1892,25.04250709
1893,24.80080291
1894,24.79433596
1895,25.07673275
1896,25.1689218
1897,24.88059091
1898,24.62656091
1899,24.6128342
1900,25.18748504
1901,25.40510241
1902,25.18056977
1903,24.827946
1904,25.01860948
1905,24.82793736
1906,25.11435511
1907,24.99186551
1908,24.50263113
1909,24.3076494
1910,24.48249644
1911,24.48456339
1912,24.68071264
1913,24.6987553
1914,24.59745509
1915,24.79796014
1916,24.67776186
1917,24.65931417
1918,24.9267195
1919,24.52178552
1920,25.05880305
1921,24.93020811
1922,24.58768489
1923,24.97150456
1924,24.87898115
1925,24.88719622
1926,25.25929947
1927,25.33206532
1928,25.06740455
1929,25.29983502
1930,25.22774917
1931,25.20720271
1932,24.84771681
1933,24.31447485
1934,25.1694687
1935,25.19576759
1936,25.10488228
1937,24.81893155
1938,25.43322864
1939,24.7856897
1940,25.62866743
1941,25.61150018
1942,25.31097566
1943,25.66202429
1944,25.16892798
1945,25.46747464
1946,25.23208502
1947,25.07882188
1948,25.0073323
1949,24.40989857
1950,24.81588531
1951,25.31238594
1952,24.77012936
1953,24.87659014
1954,25.17951145
1955,24.4038664
1956,24.99332241
1957,25.1495425
1958,25.10527075
1959,25.35855694
1960,25.23987891
1961,25.40798013
1962,25.16510029
1963,25.24289267
1964,25.13026545
1965,25.29082744
1966,25.23783529
1967,25.69677675
1968,25.84103736
1969,25.38435936
1970,25.18780439
1971,24.93935961
1972,24.84864754
1973,24.78477183
1974,25.43192145
1975,24.59449089
1976,24.67697929
1977,24.99784117
1978,25.23969745
1979,25.10446783
1980,25.31328994
1981,25.54326834
1982,25.23361018
1983,24.88979473
1984,25.50289307
1985,24.92134653
1986,25.50586213
1987,25.29584014
1988,25.52678887
1989,25.45048374
1990,25.16790279
1991,25.25496809
1992,25.45789051
1993,25.18251736
1994,25.04905483
1995,25.18634901
1996,25.8434783
1997,25.44766094
1998,24.68161821
1999,24.6845787
2000,24.88203977
2001,25.08348686
2002,25.15902918
2003,25.41742758
2004,25.80718584
2005,25.49356485
2006,25.30587263
2007,25.34708485
2008,25.28335434
2009,25.19697296
2010,25.14685457
2011,25.2877264
2012,24.7509675
2013,25.32022208
2014,25.87727516
2015,25.96253498
2016,25.85844839
2017,25.87692101
