Year,SST,SST
2010,22.50128682,24.65246073
2011,22.53947194,24.83187612
2012,22.66561635,24.78017426
2013,22.59476725,24.77020772
2014,22.58983103,24.85216268
2015,22.62480164,24.97779846
2016,22.71532694,24.98118083
2017,22.68272909,25.01990255
2018,22.70095317,25.0145874
2019,22.70754242,25.00817871
2020,22.71550496,25.11818441
2021,22.74735769,25.05046336
2022,22.80426788,24.98137919
2023,22.83993785,25.15375264
2024,22.90914408,25.18500264
2025,22.89937337,25.2803599
2026,22.92534383,25.21779633
2027,22.87762197,25.30049133
2028,22.87854004,25.23354594
2029,22.97161611,25.33125305
2030,22.99014028,25.16159566
2031,23.02617645,25.32309977
2032,23.00606791,25.29292806
2033,22.98207347,25.37401835
2034,23.06971486,25.35511271
2035,22.98898824,25.38312785
2036,23.03233592,25.4373703
2037,23.0335083,25.5258077
2038,23.07410431,25.52788289
2039,23.07197316,25.4932251
2040,23.12932587,25.57532756
2041,25.52990214,25.56515503
2042,25.55391947,25.70564779
2043,25.5466512,25.68949382
2044,25.561203,25.64744568
2045,25.54742432,25.84300486
2046,25.53082784,25.81673686
2047,25.61471558,25.86900838
2048,25.60429891,25.919192
2049,25.6167806,25.82796224
2050,25.67011007,26.00236003
2051,25.68710836,25.95511373
2052,25.76859029,26.01113892
2053,25.75487264,26.0345815
2054,25.8311971,26.10573578
2055,25.74831645,26.04468028
2056,25.77952576,26.15483348
2057,25.8174057,26.17419179
2058,25.82139079,26.19437917
2059,25.89011129,26.23616028
