Year,SST,SST
2010,8.144304911,14.40426
2011,8.15703392,14.40812556
2012,8.175490061,14.43198268
2013,8.196996053,14.46332932
2014,8.210240682,14.48038101
2015,8.216946284,14.49833298
2016,8.230093638,14.51691437
2017,8.236573537,14.52556356
2018,8.239628474,14.52574539
2019,8.256079992,14.54229609
2020,8.268397649,14.56418864
2021,8.297062556,14.59761047
2022,8.305805206,14.62266159
2023,8.328711192,14.6293691
2024,8.348655065,14.6408666
2025,8.366550446,14.68825658
2026,8.387705485,14.72155635
2027,8.402840932,14.71886698
2028,8.403378805,14.73747508
2029,8.425033569,14.76649094
2030,8.430058161,14.76246516
2031,8.452733358,14.77508672
2032,8.465962092,14.809611
2033,8.470116297,14.82940292
2034,8.482477188,14.8475914
2035,8.501473745,14.8744901
2036,8.201729457,14.91031392
2037,8.219508489,14.92952728
2038,8.233882904,14.94667435
2039,8.247805278,14.98932902
2040,8.264222463,15.00445175
2041,14.91083654,15.01852036
2042,14.91964722,15.04194768
2043,14.93358231,15.08700943
2044,14.95018641,15.11083221
2045,14.95622126,15.12254588
2046,14.97745514,15.1520195
2047,14.99655533,15.19293086
2048,15.00395584,15.2138443
2049,15.02091217,15.23315811
2050,15.03632609,15.27230581
2051,15.05011113,15.29855855
2052,15.05568186,15.31996409
2053,15.0732638,15.35414124
2054,15.08402761,15.37442652
2055,15.10084407,15.40751012
2056,15.10112,15.44665782
2057,15.11592992,15.47806168
2058,15.13449097,15.50829061
2059,15.15969467,15.5345548
